Model,Backbone,Split,Threshold,Level,Precision,Recall,F1,Accuracy,AUC,PR_AUC
MLP,omnivore,recordings,0.4,Step,0.4090909090909091,0.8589211618257261,0.5542168674698795,0.503725782414307,0.6302808067162018,0.402
MLP,omnivore,recordings,0.4,Sub Step,0.3964945261528254,0.5688109780280797,0.46727266803505685,0.5735263432446531,0.5988330748775713,0.3673
MLP,omnivore,step,0.6,Step,0.6607142857142857,0.14859437751004015,0.24262295081967214,0.7105263157894737,0.7573902166041213,0.3638
MLP,omnivore,step,0.6,Sub Step,0.4096162736939436,0.2989708115404083,0.3456549302643129,0.6831416629277163,0.6541560352028618,0.3187
MLP,slowfast,recordings,0.4,Step,0.4138755980861244,0.7178423236514523,0.5250379362670713,0.533532041728763,0.5689375663417928,0.3984
MLP,slowfast,recordings,0.4,Sub Step,0.34477329974811083,0.17371301657809154,0.23102484308244106,0.6197443922796035,0.5378167726294552,0.3316
MLP,slowfast,step,0.6,Step,0.31917631917631917,0.9959839357429718,0.4834307992202729,0.3358395989974937,0.6309610024798646,0.3191
MLP,slowfast,step,0.6,Sub Step,0.3910761154855643,0.03770879028176143,0.06878510425482803,0.7141946300800529,0.5777348914133424,0.2841
RNN,omnivore,recordings,0.6,Step,0.46596858638743455,0.36929460580912865,0.41203703703703703,0.6214605067064084,0.6460677410016404,0.4868
RNN,omnivore,recordings,0.6,Sub Step,0.45714285714285713,0.3983402489626556,0.42572062084257206,0.6140089418777943,0.6460677410016404,0.4868
RNN,slowfast,recordings,0.6,Step,0.0,0.0,0.0,0.6408345752608048,0.5,0.3592
RNN,slowfast,recordings,0.6,Sub Step,0.3591654247391952,1.0,0.5285087719298246,0.3591654247391952,0.5,0.3592
Transformer,omnivore,recordings,0.4,Step,0.45408163265306123,0.36929460580912865,0.4073226544622426,0.6140089418777943,0.6226768310334846,0.3942
Transformer,omnivore,recordings,0.4,Sub Step,0.4491327720864185,0.35123344173871657,0.39419567346212053,0.645018257694314,0.6254427005929003,0.3711
Transformer,omnivore,step,0.6,Step,0.5155709342560554,0.5983935742971888,0.5539033457249071,0.6992481203007519,0.7561832027563805,0.4338
Transformer,omnivore,step,0.6,Sub Step,0.4445452483556362,0.6613801248523705,0.5317056629365887,0.6738848088412402,0.7461755308526944,0.3888
Transformer,slowfast,recordings,0.4,Step,0.4115755627009646,0.5311203319502075,0.463768115942029,0.5588673621460507,0.5982727009553218,0.387
Transformer,slowfast,recordings,0.4,Sub Step,0.3889220960350667,0.4645038470690886,0.4233661075766339,0.5839332290036515,0.6017853112151881,0.3567
Transformer,slowfast,step,0.6,Step,0.47692307692307695,0.24899598393574296,0.32717678100263853,0.6804511278195489,0.6713630478196941,0.3531
Transformer,slowfast,step,0.6,Sub Step,0.44196376388077147,0.3189640627636241,0.3705228085648488,0.6966254988547005,0.6529493037622427,0.3316
