"Split","Backbone","Variant","Modality","Error Type","Count","Precision","Recall","F1","Accuracy","AUC","PR AUC"
"step","omnivore","MLP","video","Measurement Error",42,100.0,9.52,17.39,9.52,0.0,100.0
"step","omnivore","MLP","video","No Error",626,40.62,16.88,23.85,86.74,76.91,17.08
"step","omnivore","MLP","video","Preparation Error",49,100.0,16.33,28.07,16.33,0.0,100.0
"step","omnivore","MLP","video","Technique Error",62,100.0,22.58,36.84,22.58,0.0,100.0
"step","omnivore","MLP","video","Temperature Error",8,0.0,0.0,0.0,0.0,0.0,100.0
"step","omnivore","MLP","video","Timing Error",34,100.0,5.88,11.11,5.88,0.0,100.0
"step","omnivore","Transformer","video","Measurement Error",42,100.0,64.29,78.26,64.29,0.0,100.0
"step","omnivore","Transformer","video","No Error",626,26.32,64.94,37.45,73.32,78.05,21.4
"step","omnivore","Transformer","video","Preparation Error",49,100.0,61.22,75.95,61.22,0.0,100.0
"step","omnivore","Transformer","video","Technique Error",62,100.0,51.61,68.09,51.61,0.0,100.0
"step","omnivore","Transformer","video","Temperature Error",8,100.0,50.0,66.67,50.0,0.0,100.0
"step","omnivore","Transformer","video","Timing Error",34,100.0,61.76,76.36,61.76,0.0,100.0
"step","slowfast","MLP","video","Measurement Error",42,100.0,100.0,100.0,100.0,0.0,100.0
"step","slowfast","MLP","video","No Error",626,12.71,100.0,22.55,15.5,63.01,12.71
"step","slowfast","MLP","video","Preparation Error",49,100.0,100.0,100.0,100.0,0.0,100.0
"step","slowfast","MLP","video","Technique Error",62,100.0,98.39,99.19,98.39,0.0,100.0
"step","slowfast","MLP","video","Temperature Error",8,100.0,100.0,100.0,100.0,0.0,100.0
"step","slowfast","MLP","video","Timing Error",34,100.0,100.0,100.0,100.0,0.0,100.0
